,h0,theta0,fx,fy,fz,mx,my,mz,f_thrust,f_lift,mz,vy,wz,Cd,Cpout,Eta
0,5.516441538265582e-05,-0.3837453739345372,0.25085579663511703,0.12899669732016045,16.421621779783937,-0.2132297809971813,0.09748738682491721,-0.0031125136275697955,-0.18431492123199184,0.21353404514548244,0.0031125136275697955,0.0,0.0,-2.186598691842039,1.821972212399648,-1.2001273548305962
1,5.215103131035904e-05,-0.3704617747406275,0.24949763628389698,0.13397062138785854,16.418965634502303,-0.2131526161425057,0.09743923348470086,-0.00292370375897256,-0.18406826515377617,0.21521169036457996,0.00292370375897256,-0.0014876820370801633,6.585308680507828,-2.192348518878043,1.8102420681798337,-1.2110803065594486
2,4.9213687234335165e-05,-0.3574041392125059,0.24814113885012468,0.13901213449722094,16.416295277976293,-0.21307435565543736,0.09738989706651678,-0.0027321889120897804,-0.1838281304780508,0.2170382841165471,0.0027321889120897804,-0.0014471439292895749,6.443188254707979,-2.1980474889646016,1.8443973622028482,-1.1917429150621712
3,4.636245559320074e-05,-0.3446890217217956,0.24680631681707688,0.14412439136577038,16.413619237762777,-0.2129949778171149,0.09733916651984817,-0.0025388752303604992,-0.18358910281218793,0.21904392147690602,0.0025388752303604992,-0.0014039807223697998,6.265605132651592,-2.203693128069335,1.8751039336743551,-1.1752378566830126
4,4.3597764344855966e-05,-0.33234171868189955,0.24550238411481207,0.14931548512020298,16.410932397294143,-0.21291433293540232,0.0972869077900248,-0.0023441515130806535,-0.1833534253188874,0.22124207585034422,0.0023441515130806535,-0.001360582174729786,6.085522621233088,-2.2092826852919765,1.9020671446650381,-1.161516664376767
5,4.0920126894281596e-05,-0.32034693123686325,0.24422317293414242,0.1545855876850737,16.408226214809623,-0.21283239795190725,0.09723324612755149,-0.0021478826187841457,-0.18312025716830643,0.22362610208241113,0.0021478826187841457,-0.0012974464257053961,5.917294497589043,-2.2148136609429727,1.9255588519121993,-1.1502186280847897
6,3.840797864203438e-05,-0.3086725406915434,0.24296046600205168,0.15991267377877338,16.405502293342302,-0.2127494224129831,0.09717842354913683,-0.0019493908738958798,-0.18289705135168174,0.22616480690388324,0.0019493908738958798,-0.0011982952951994368,5.761900883781825,-2.220284246100677,1.9460167352060405,-1.1409378994192452
7,3.612694571348385e-05,-0.29729932770173595,0.24171255434447092,0.16526147549736542,16.40278191335385,-0.21266590999702117,0.09712264669936682,-0.0017475598264101947,-0.18269734746542704,0.22881869119543563,0.0017475598264101947,-0.0011068136581293686,5.61004402225769,-2.2256931720236794,1.9636969188265578,-1.1334199033900212
8,3.398072400951691e-05,-0.2862323646025126,0.24048318542798652,0.17060262806433468,16.400096132947333,-0.21258240200983702,0.09706604109262529,-0.001541034175763024,-0.1825310639472913,0.2315595600926874,0.001541034175763024,-0.0010707479225491312,5.452900873346919,-2.231039301956542,1.9785994627213952,-1.1275851146183662
9,3.1843954023287324e-05,-0.2754877242083483,0.23927579478073735,0.1759179450718376,16.39745968178665,-0.21249920870394937,0.09700870192077488,-0.0013286017351849116,-0.18240078800299656,0.23437146136451323,0.0013286017351849116,-0.0010722250521855165,5.292430427109279,-2.236321804656509,1.9906404014162193,-1.1234182743731629
10,2.969182380077484e-05,-0.2650626428940755,0.23808534105511647,0.18119507970885784,16.394854392822513,-0.21241637046815406,0.09695091594182008,-0.0011099757138109938,-0.18230284557408694,0.23723819049980355,0.0011099757138109938,-0.0010698961082633565,5.13959262132993,-2.2415402316617685,1.9999326400242308,-1.1208078646261859
11,2.7564369590233898e-05,-0.25492935372302855,0.2368959913785189,0.18641366253252856,16.392258467129764,-0.21233396929809553,0.09689311403157436,-0.0008860166469616525,-0.18223052992642283,0.24012871188747476,0.0008860166469616525,-0.0010491645333532407,5.003622857163006,-2.2466944359392267,2.006751827100968,-1.119567654354594
