,h0,theta0,fx,fy,fz,mx,my,mz,f_thrust,f_lift,mz,vy,wz,Cd,Cpout,Eta
0,-3.1031554910434526e-05,-0.4020271916421954,-0.16576719493356462,-0.17543503317689735,14.31541369805819,-0.18157601940046203,0.07794289053231625,0.002387295038312009,0.08390547710315562,-0.22630970967683492,-0.002387295038312009,0.0,0.0,-2.1296393960503335,5.410341858330403,-0.3936238137653517
1,-3.1102551910837664e-05,-0.38876302798447043,-0.16554319608899082,-0.174782826803611,14.317560291790437,-0.1815807914948226,0.07792065324013452,0.0023476789022761034,0.08693974832643453,-0.22448845511018017,-0.0023476789022761034,-3.9002310607826694e-05,6.576748826230216,-2.12582353538643,5.415134271587669,-0.39257078934132456
2,-3.118756415286583e-05,-0.37572019633727455,-0.1653174167099989,-0.17416733831913545,14.319794404612091,-0.18158718885116734,0.07789953408518599,0.002304466986305981,0.0898760547590316,-0.2226800502644796,-0.002304466986305981,-4.3598539667399905e-05,6.438035852901009,-2.1222217399418053,5.370901810092377,-0.39513322249793725
3,-3.1276946069507264e-05,-0.3630108845728664,-0.1650760261059152,-0.17359980124768892,14.322123355862692,-0.18159552273352167,0.07787980656052379,0.002257310729490168,0.09267469754772087,-0.2209035667946454,-0.002257310729490168,-4.9048608570247156e-05,6.259155569733276,-2.118827711574547,5.328305659295545,-0.3976550609250666
4,-3.138375858714682e-05,-0.35068357405834144,-0.1648167046816118,-0.17309159545511554,14.324552305395295,-0.18160606885467462,0.07786176784133626,0.002205776693563956,0.095321784303223,-0.21917801896301747,-0.002205776693563956,-5.292552221813893e-05,6.058245496902037,-2.115632112427641,5.287694071031796,-0.40010486310430865
5,-3.148864815837982e-05,-0.33877790258525825,-0.1645434654591802,-0.1726471592527199,14.327087381480595,-0.1816189637682035,0.077845544067248,0.002149366577866938,0.09781442138655645,-0.21751766041442155,-0.002149366577866938,-5.036835592608829e-05,5.845728948716808,-2.112624877905021,5.249446568145682,-0.40244716285421417
6,-3.1585232010851174e-05,-0.3273006582634742,-0.16425498441932884,-0.17227159326965558,14.329729784411445,-0.1816342342253936,0.07783112801760828,0.0020876332820649116,0.10015200097113251,-0.2159323469416703,-0.0020876332820649116,-6.245517955250093e-05,5.639557389540667,-2.1097964496638024,5.2137186223357785,-0.40466250722188
7,-3.1738468876589823e-05,-0.3162196730270956,-0.16395309817730208,-0.1719686879294542,14.332469971405091,-0.18165186072754266,0.0778186352096736,0.0020201206701714273,0.10234582467647735,-0.2144275639963431,-0.0020201206701714273,-0.0001046029772044923,5.449626766821022,-2.107137486634964,5.180393273647266,-0.4067524173027562
8,-3.2003643919669144e-05,-0.3055021511961901,-0.1636372749864048,-0.17174472710860977,14.33530016674802,-0.18167185246707418,0.07780817303867785,0.0019463202492845007,0.10440419668757224,-0.21300979500626216,-0.0019463202492845007,-0.00015820514579267795,5.278092943336935,-2.1046403545677745,5.149320276936728,-0.40872197520792025
9,-3.2371289459760535e-05,-0.29510730125374784,-0.16330995266227388,-0.1716096379070554,14.338216753636503,-0.1816942506754059,0.07779981372948057,0.0018658938247272782,0.10633883832563899,-0.2116885918624299,-0.0018658938247272782,-0.0001795318367481262,5.125576174649107,-2.1022989077130827,5.120377906446203,-0.4105749509360302
