omega1,theta0,theta_bar1
6.9655535400310455,-11.38500363669975,56.63745749303095
6.965553540031044,-11.38500363669975,56.63745749303096
6.965553540031045,-11.38500363669975,56.637457493030965
6.9655535400310455,-11.38500363669975,56.63745749303096
6.965553540031045,-11.38500363669975,56.63745749303096
6.965553540031047,-11.38500363669975,56.637457493030965
6.9655535400310455,-11.38500363669975,56.637457493030965
6.965553540031047,-11.38500363669975,56.63745749303098
6.9655535400310455,-11.38500363669975,56.63745749303098
6.965553540031046,-11.385003636699752,56.63745749303097
6.965553540031046,-11.38500363669975,56.637457493030965
6.9655535400310455,-11.38500363669975,56.63745749303097
6.965553540031046,-11.38500363669975,56.63745749303097
6.975100025885313,-12.77985544137827,56.599559342373745
6.975100025885313,-12.781311051632935,56.65273273717604
6.975100025885313,-12.781051989325555,56.608538689712816
6.975100025885313,-12.781624758595768,56.63946172880141
6.975100025885313,-12.782279012010104,56.60026277105198
6.975100025885313,-12.778307642940053,56.636059751869404
6.975100025885313,-12.78232925894139,56.60581346887997
6.975100025885313,-12.77985544137827,56.59955934237374
6.975100025885313,-12.778156077370896,56.62651349548382
6.975100025885313,-12.784463709850908,56.62651349548383
6.975100025885313,-12.77985544137827,56.62651349548382
6.975100025885313,-12.78522763055569,56.62651349548382
6.975100025885313,-12.702473758561089,56.62651349548382
6.975100025885313,-12.770141728230207,56.62651349548382
6.975100025885314,-12.77724354971755,56.62651349548382
6.975100025885314,-12.767042819877174,56.62651349548385
6.975100025885314,-12.756824194691468,56.626513495483835
6.975100025885313,-12.77409347373105,56.62651349548382
6.975100025885313,-12.763991614314664,56.626513495483835
6.975100025885313,-12.765814774799704,56.62651349548383
6.975100025885314,-12.784463709850908,56.62651349548382
6.975100025885313,-12.859633020772563,56.62651349548382
6.975100025885312,-12.859633020772563,56.62651349548382
6.975100025885313,-12.784463709850908,56.62651349548382
6.975100025885313,-12.859633020772563,56.62651349548383
6.988177319802187,-12.715524296459453,56.97795296508945
6.988177319802186,-12.715524296459453,56.97795296508946
6.987117866634401,-14.54820687452961,36.08859942972053
6.987117866634401,-14.932378499380594,36.08859942972053
6.987117866634401,-14.99678227223277,36.08859942972053
6.987117866634401,-14.91730249043159,36.08859942972053
6.987117866634401,-14.493315219544247,36.08859942972053
6.987117866634401,-15,36.08859942972053
6.989131100165663,-14.357323781662487,32.39974934599047
6.989131100165663,-14.282267650824867,32.39974934599047
6.989131100165663,-14.296926059926843,32.39974934599047
6.989131100165663,-14.349550269400906,32.39974934599047
6.989131100165663,-14.340872752686622,32.39974934599047
6.989131100165663,-14.30920490710503,32.39974934599047
6.980610511765926,-13.120245087031307,32.38095819866419
6.980610511765926,-13.120245087031309,32.38095819866419
6.980610511765927,-13.120245087031309,32.38095819866419
6.980610511765926,-14.352789441140862,32.38109439886081
6.980610511765926,-14.352789441140867,32.381422191584385
6.980610511765926,-14.352789441140866,32.381422191584385
6.980610511765925,-14.352789441140864,32.381073528791774
6.980610511765926,-14.352789441140864,32.38109439886081
6.980610511765926,-14.352789441140864,32.381422191584385
6.980610511765926,-14.352789441140864,32.381039825582356
6.980610511765926,-14.352789441140864,32.38095819866419
6.980610511765926,-14.352789441140864,32.378554987578255
6.980610511765927,-14.352789441140864,32.37877158798278
6.980610511765926,-14.352789441140864,32.37856987308594
6.980610511765927,-14.352789441140864,32.37847337480504
6.980610511765927,-14.352789441140864,32.38129451765795
6.980610511765927,-14.352789441140864,32.37901084437995
6.980610511765927,-14.352789441140864,32.38095819866419
6.980610511765929,-14.352789441140864,32.37901084437995
6.980610511765928,-14.352789441140864,32.379010844379934
6.980610511765927,-14.352789441140864,32.37901084437994
6.982491901210574,-13.123072127255096,30.158036301311636
6.981825634323794,-14.29199002647783,30.231940426731533
6.982008313214981,-14.32684036325803,30.23769448951257
6.981825634323795,-14.29199002647783,30.23194042673153
6.981825634323795,-14.291990026477833,30.231940426731526
6.981825634323795,-14.291990026477833,30.23194042673153
6.981825634323795,-14.147291938133128,30.23194042673153
