4.23E-01,6.15E-01,4.73E-01,7.44E-01,2.19E-01,3.77E-01,8.85E-01,4.35E-01,5.77E-01,-1.213345528
9.02E-01,2.65E-01,6.98E-01,6.73E-01,9.31E-01,6.46E-02,1.56E-01,3.19E-01,4.23E-01,-1.36508894
4.73E-01,9.81E-01,1.65E-01,5.73E-01,8.98E-01,5.48E-01,1.06E-01,6.52E-01,3.85E-01,0.027111148
3.56E-01,7.81E-01,6.48E-01,8.94E-01,4.79E-02,3.40E-01,6.94E-01,8.81E-01,3.90E-01,-1.208952904
4.77E-01,6.48E-01,7.44E-01,6.77E-01,2.77E-01,9.81E-01,7.35E-01,2.94E-01,3.02E-01,-2.168283224
6.69E-01,2.90E-01,6.56E-01,3.40E-01,3.06E-01,9.44E-01,7.31E-01,6.88E-02,9.56E-01,-2.280308008
2.69E-01,1.31E-01,5.81E-01,8.31E-01,8.65E-01,7.98E-01,8.15E-01,5.60E-01,9.23E-01,-0.643695831
5.77E-01,7.23E-01,8.98E-01,8.12E-02,9.06E-01,2.35E-01,8.27E-01,5.23E-01,9.77E-01,-1.540578365
8.19E-01,2.73E-01,1.19E-01,6.19E-01,2.08E-03,9.10E-01,8.81E-01,3.54E-02,7.35E-01,-1.120988488
8.96E-02,8.40E-01,1.52E-01,2.23E-01,9.60E-01,3.69E-01,7.44E-01,3.02E-01,1.48E-01,0.009172479
9.10E-01,2.71E-02,3.54E-02,6.04E-02,6.90E-01,6.52E-01,3.98E-01,9.52E-01,7.02E-01,-0.231218487
8.77E-01,5.85E-01,8.15E-01,1.44E-01,4.48E-01,5.19E-01,7.71E-02,9.23E-01,5.73E-01,-1.720306635
7.85E-01,2.29E-02,8.40E-01,7.40E-01,9.37E-02,6.56E-01,3.40E-01,9.81E-01,7.56E-01,-3.578415632
9.27E-01,7.02E-01,9.15E-01,4.94E-01,3.85E-01,1.02E-01,1.44E-01,4.10E-01,1.44E-01,-3.94717145
4.65E-01,1.85E-01,9.48E-01,1.73E-01,1.81E-01,2.31E-01,3.81E-01,7.52E-01,1.90E-01,-2.620842934
2.02E-01,8.54E-02,1.85E-01,8.02E-01,5.62E-02,9.94E-01,3.60E-01,8.98E-01,4.19E-01,-0.487443149
9.85E-01,9.15E-01,5.94E-01,4.37E-02,3.73E-01,4.10E-01,4.65E-01,3.10E-01,3.35E-01,-1.622546315
3.06E-01,5.40E-01,5.44E-01,1.27E-01,6.40E-01,4.94E-01,4.10E-01,3.27E-01,8.15E-01,-0.865005076
2.81E-01,6.81E-01,6.69E-01,4.31E-01,8.69E-01,2.40E-01,3.35E-01,9.35E-01,5.65E-01,-0.473010778
2.19E-01,5.65E-01,9.35E-01,4.02E-01,8.44E-01,2.85E-01,2.77E-01,2.23E-01,9.60E-01,-0.845926642
4.15E-01,6.52E-01,6.46E-02,2.29E-02,4.94E-01,3.02E-01,1.88E-02,4.48E-01,8.23E-01,-0.558208346
2.65E-01,2.85E-01,5.21E-02,4.27E-01,4.60E-01,6.40E-01,1.23E-01,9.85E-01,5.10E-01,0.012053726
6.48E-01,2.31E-01,9.73E-01,9.69E-01,9.73E-01,5.85E-01,5.21E-02,2.56E-01,2.15E-01,-1.255721927
6.77E-01,9.98E-01,8.02E-01,4.77E-01,9.65E-01,4.65E-01,1.15E-01,4.98E-01,8.81E-01,3.600011587
7.65E-01,1.69E-01,6.06E-01,7.06E-01,4.73E-01,7.94E-01,3.96E-02,2.85E-01,6.46E-02,-1.395116448
1.23E-01,6.35E-01,8.60E-01,6.65E-01,7.48E-01,8.81E-01,8.31E-01,8.31E-01,7.77E-01,-1.491848111
3.54E-02,2.69E-01,5.62E-02,8.10E-01,7.60E-01,5.21E-02,3.48E-01,1.60E-01,1.40E-01,-0.255659789
4.69E-01,2.08E-03,9.06E-01,8.60E-01,5.65E-01,7.52E-01,5.31E-01,6.85E-01,8.31E-01,-1.717718601
3.90E-01,1.48E-01,5.19E-01,9.19E-01,2.71E-02,8.73E-01,9.02E-01,4.90E-01,6.40E-01,-1.371610522
7.29E-02,3.65E-01,7.69E-01,5.23E-01,1.31E-01,3.90E-01,2.02E-01,6.23E-01,6.31E-01,-2.033808708
7.98E-01,8.12E-02,9.52E-01,7.65E-01,8.52E-01,4.73E-01,8.23E-01,5.85E-01,2.98E-01,-0.747294903
3.40E-01,2.77E-01,9.90E-01,7.94E-01,2.56E-01,2.44E-01,7.94E-01,2.19E-01,3.10E-01,-1.986048818
1.46E-02,7.27E-01,8.12E-02,1.23E-01,1.15E-01,8.48E-01,3.65E-01,6.06E-01,3.54E-02,0.043143719
1.48E-01,6.73E-01,8.96E-02,6.31E-01,1.77E-01,5.77E-01,9.38E-02,8.65E-01,8.96E-02,-0.264875859
6.65E-01,3.96E-02,5.85E-01,5.94E-01,6.46E-02,3.96E-02,6.10E-01,1.90E-01,5.69E-01,-2.39565897
6.31E-01,8.56E-01,6.73E-01,7.81E-01,8.02E-01,1.10E-01,6.35E-01,6.15E-01,4.02E-01,-1.722305894
4.85E-01,3.69E-01,2.73E-01,2.06E-01,2.40E-01,3.19E-01,9.48E-01,8.54E-02,7.15E-01,-0.295175701
1.10E-01,6.31E-01,1.31E-01,9.94E-01,5.94E-01,4.52E-01,4.15E-01,2.90E-01,6.77E-01,-0.575607836
2.06E-01,9.23E-01,9.44E-01,4.85E-01,9.15E-01,6.60E-01,4.77E-01,4.19E-01,7.10E-01,-0.697264075
1.65E-01,8.98E-01,9.81E-01,4.23E-01,1.23E-01,8.90E-01,9.69E-01,4.52E-01,9.19E-01,-0.100059167
3.44E-01,1.44E-01,4.79E-02,2.65E-01,4.85E-01,6.73E-01,2.31E-01,4.44E-01,2.69E-01,0.00896997
5.27E-01,9.69E-01,3.98E-01,3.69E-01,8.60E-01,9.02E-01,6.60E-01,5.35E-01,3.23E-01,1.209513664
5.98E-01,9.31E-01,9.77E-01,4.81E-01,5.69E-01,6.19E-01,6.90E-01,3.56E-01,1.06E-01,0.199570283
6.73E-01,4.85E-01,2.81E-01,3.35E-01,7.98E-01,4.69E-01,4.94E-01,8.85E-01,4.81E-01,0.277797371
9.77E-01,9.94E-01,3.31E-01,4.52E-01,1.46E-02,7.56E-01,8.69E-01,5.98E-01,6.44E-01,1.848356128
3.19E-01,2.06E-01,7.60E-01,3.31E-01,8.27E-01,5.40E-01,2.40E-01,6.60E-01,4.98E-01,-0.495072126
3.60E-01,6.56E-01,3.35E-01,8.56E-01,8.06E-01,5.27E-01,9.98E-01,6.90E-01,5.56E-01,-1.03668797
1.52E-01,2.10E-01,3.96E-02,6.46E-02,1.90E-01,5.56E-01,9.19E-01,3.52E-01,2.19E-01,-0.120165199
4.98E-01,5.10E-01,5.23E-01,3.27E-01,8.19E-01,2.98E-01,9.73E-01,1.02E-01,2.31E-01,-0.295061618
4.90E-01,3.06E-01,3.69E-01,7.29E-02,6.48E-01,3.73E-01,7.98E-01,7.23E-01,2.02E-01,-0.469749391
5.06E-01,3.85E-01,8.81E-01,9.90E-01,5.60E-01,5.81E-01,6.27E-01,4.15E-01,2.60E-01,-1.561872005
4.40E-01,7.40E-01,3.56E-01,5.90E-01,6.77E-01,3.60E-01,3.02E-01,2.52E-01,3.52E-01,-1.098138094
4.48E-01,6.60E-01,2.71E-02,8.52E-01,1.10E-01,6.31E-01,8.65E-01,1.27E-01,6.52E-01,-0.594707251
1.56E-01,3.48E-01,2.29E-02,4.56E-01,9.48E-01,6.87E-02,2.06E-01,8.10E-01,5.52E-01,0.008761624
3.48E-01,1.15E-01,7.29E-02,6.90E-01,1.44E-01,3.56E-01,2.52E-01,8.12E-02,7.44E-01,-0.342178643
8.12E-02,8.81E-01,7.48E-01,4.06E-01,1.27E-01,3.48E-01,2.48E-01,5.73E-01,1.85E-01,-0.634319961
8.27E-01,1.52E-01,3.27E-01,1.46E-02,1.19E-01,5.98E-01,5.44E-01,2.81E-01,1.81E-01,-0.559978008
5.48E-01,3.10E-01,3.90E-01,9.40E-01,3.96E-02,3.94E-01,7.40E-01,7.81E-01,9.81E-01,-1.015970707
3.77E-01,1.40E-01,5.40E-01,1.10E-01,1.60E-01,4.40E-01,1.04E-02,7.35E-01,1.15E-01,-0.714877963
4.60E-01,3.77E-01,1.69E-01,8.96E-02,7.29E-02,1.87E-02,6.25E-03,2.06E-01,6.48E-01,-0.405726939
8.23E-01,6.04E-02,4.94E-01,4.98E-01,3.35E-01,2.94E-01,2.23E-01,6.69E-01,5.23E-01,-1.679904103
7.52E-01,7.94E-01,5.65E-01,2.69E-01,7.71E-02,8.69E-01,7.15E-01,4.85E-01,3.19E-01,0.232348025
2.52E-01,7.19E-01,4.52E-01,5.81E-01,6.44E-01,3.31E-01,3.13E-02,6.19E-01,1.27E-01,-0.921397448
9.35E-01,5.48E-01,1.10E-01,4.35E-01,1.87E-02,8.65E-01,4.37E-02,3.73E-01,2.29E-02,0.175635591
1.06E-01,4.98E-01,3.60E-01,1.69E-01,7.81E-01,9.06E-01,1.81E-01,1.06E-01,3.77E-01,-0.189214617
1.35E-01,9.56E-01,8.69E-01,7.10E-01,6.85E-01,7.10E-01,7.48E-01,2.48E-01,6.90E-01,-1.264172435
1.94E-01,4.94E-01,1.81E-01,5.48E-01,2.90E-01,1.06E-01,5.69E-01,1.04E-02,6.85E-01,-0.569064975
5.90E-01,8.96E-02,2.94E-01,6.40E-01,3.90E-01,2.81E-01,1.94E-01,4.77E-01,1.02E-01,-0.772847056
2.85E-01,8.94E-01,2.23E-01,6.44E-01,5.21E-02,4.06E-01,9.10E-01,6.48E-01,4.60E-01,-0.667752981
3.65E-01,5.02E-01,9.79E-02,8.27E-01,9.94E-01,8.44E-01,4.44E-01,2.29E-02,2.56E-01,-0.685161471
6.98E-01,3.60E-01,7.98E-01,7.69E-01,7.40E-01,8.15E-01,4.98E-01,9.38E-02,1.77E-01,-0.912822306
6.15E-01,2.48E-01,5.48E-01,1.77E-01,6.10E-01,6.98E-01,9.52E-01,2.27E-01,6.73E-01,-0.538971305
1.69E-01,9.77E-01,6.65E-01,6.52E-01,2.94E-01,8.19E-01,1.69E-01,2.40E-01,1.52E-01,-2.113084555
4.44E-01,9.85E-01,4.35E-01,8.15E-01,4.56E-01,1.81E-01,9.27E-01,9.02E-01,9.27E-01,-0.901534915
6.94E-01,7.29E-02,4.15E-01,1.94E-01,1.56E-01,3.81E-01,7.85E-01,5.27E-01,6.10E-01,-1.032665849
9.40E-01,7.31E-01,1.44E-01,4.48E-01,6.04E-02,6.81E-01,4.23E-01,8.48E-01,8.40E-01,0.976058483
6.56E-01,5.23E-01,5.10E-01,6.85E-01,4.02E-01,7.06E-01,3.10E-01,5.21E-02,9.79E-02,-1.728117347
1.02E-01,9.27E-01,7.31E-01,3.02E-01,7.15E-01,2.69E-01,9.81E-01,3.77E-01,4.52E-01,-0.725497425
7.15E-01,8.19E-01,6.10E-01,7.31E-01,6.25E-03,8.12E-02,3.94E-01,3.35E-01,6.35E-01,-3.334617138
9.90E-01,1.65E-01,1.98E-01,8.48E-01,3.23E-01,1.23E-01,8.73E-01,8.15E-01,5.98E-01,-0.470637113
6.10E-01,7.10E-01,4.23E-01,1.19E-01,3.77E-01,7.31E-01,1.98E-01,6.40E-01,8.85E-01,-0.311421692
6.90E-01,8.48E-01,5.56E-01,7.35E-01,4.40E-01,2.23E-01,7.77E-01,4.37E-02,6.94E-01,-1.068883538
4.79E-02,7.98E-01,3.44E-01,7.02E-01,1.48E-01,9.79E-02,1.35E-01,9.73E-01,4.85E-01,-0.729168773
8.98E-01,8.90E-01,9.56E-01,8.73E-01,6.69E-01,5.69E-01,3.23E-01,6.35E-01,2.90E-01,-1.419955611
8.60E-01,2.19E-01,2.56E-01,9.73E-01,9.81E-01,4.37E-02,8.40E-01,5.06E-01,7.19E-01,-0.24295257
9.60E-01,5.35E-01,5.98E-01,1.04E-02,7.02E-01,8.56E-01,5.60E-01,3.48E-01,6.65E-01,-1.447381616
8.35E-01,4.31E-01,1.77E-01,8.06E-01,2.52E-01,7.02E-01,2.10E-01,4.02E-01,1.69E-01,-0.986101985
5.35E-01,4.52E-01,1.02E-01,3.81E-01,5.85E-01,1.69E-01,3.56E-01,3.06E-01,6.56E-01,0.238574788
6.19E-01,6.85E-01,2.98E-01,9.79E-02,8.56E-01,2.48E-01,3.15E-01,4.65E-01,3.73E-01,-0.340379596
1.90E-01,6.19E-01,7.15E-01,3.06E-01,6.06E-01,3.10E-01,7.81E-01,7.19E-01,8.90E-01,-0.78151685
5.44E-01,3.27E-01,3.10E-01,7.19E-01,8.35E-01,3.35E-01,8.48E-01,7.48E-01,3.13E-02,-0.648209214
9.81E-01,6.23E-01,7.27E-01,6.10E-01,2.65E-01,7.29E-02,7.73E-01,7.94E-01,6.88E-02,-1.06847477
6.44E-01,6.69E-01,9.38E-02,4.15E-01,1.65E-01,6.23E-01,8.10E-01,9.77E-01,8.44E-01,0.36818704
6.27E-01,9.65E-01,6.52E-01,3.85E-01,9.52E-01,2.90E-01,8.19E-01,3.81E-01,3.96E-02,-0.140850037
3.81E-01,4.06E-01,7.85E-01,8.85E-01,6.31E-01,8.77E-01,1.85E-01,9.69E-01,9.52E-01,-1.315932393
8.54E-02,2.27E-01,5.60E-01,5.27E-01,4.19E-01,2.29E-02,8.02E-01,4.40E-01,8.27E-01,-1.356937289
1.31E-01,9.52E-01,8.48E-01,2.52E-01,7.27E-01,7.44E-01,6.15E-01,4.06E-01,6.04E-02,-0.775231898
9.79E-02,5.98E-01,4.10E-01,9.81E-01,3.19E-01,4.44E-01,5.52E-01,3.94E-01,3.81E-01,-0.729852498
5.19E-01,6.02E-01,9.27E-01,3.56E-01,2.15E-01,3.44E-01,5.85E-01,6.65E-01,6.15E-01,-3.335276604
7.44E-01,1.06E-01,9.94E-01,2.85E-01,5.27E-01,7.81E-01,6.52E-01,7.29E-02,3.56E-01,-3.340834141
7.60E-01,1.23E-01,4.60E-01,2.73E-01,9.69E-01,6.85E-01,6.69E-01,5.56E-01,9.31E-01,-0.309997201
