st,ad,theta,phi,alpha1,alpha2,m,p,t,ct,cl,eta
0.7787831851214992,0.9200000166893005,0.569450320102677,0.2464917242904288,0.9000509099449923,0.9764455382844913,0.13864214477002293,0.2935012484514645,0.9703786244683429,1.5095610618591309,0.9127766489982605,0.30665144324302673
0.8664116849837514,0.831147350752609,0.027283091098070145,0.9159125627685553,0.5041189839151908,0.22487218356533617,0.6724281391822877,0.41645095968327184,0.4465344495339033,-0.4712691307067871,0.44959670305252075,1.914665699005127
0.85989532603495,0.9198904518436336,0.009335325727582111,0.9982688596684112,0.8999999761581421,0.9899494935078283,0.701147751810251,0.3797490220954628,0.8999999761581421,2.6840810775756836,,
0.94669652327117,0.9258036328804252,0.0,0.9900000095367432,0.8146194987902842,0.9736064615260763,0.7580763291558826,0.3808659509455178,0.910458494128494,,7.750626564025879,
0.7983667984578317,0.9200240762623546,0.4647149352085468,0.23027984254726674,0.973757898201147,0.9904780922186824,0.3163075777745792,0.3814409362370919,0.9235906426447668,1.3689852952957153,1.7251150608062744,0.1292380392551422
0.7508537897508772,0.9622737790878504,0.5175540687720572,0.2707645680664752,0.9172929525375366,0.9917210843742332,0.2069900291780712,0.8099956031878894,0.985643605652461,1.7316622734069824,0.8060908317565918,0.3045315146446228
0.9260200590362148,0.9958114000150722,0.5097495259996327,0.40553075700358027,0.8969842296133204,0.9900000095367432,0.66202822414213,0.3892646892964998,0.9668942658624403,4.054246425628662,3.5057663917541504,-4.8375396728515625
0.8600000143051147,0.9200000166893005,0.009952204552525247,0.999878014793081,0.8999999761581421,0.9900000095367432,0.699999988079071,0.3799999952316284,0.8999999761581421,2.736036539077759,,
0.7983667984578317,0.923975160609197,0.4593124790290597,0.23027984254726674,0.8745082773295464,0.9903516627685083,0.3163075777745792,0.3131579480179112,0.926604981122708,1.3941539525985718,1.7325671911239624,0.12000580132007599
0.9764091737655883,0.9200000166893005,0.5299999713897705,0.3855827741063568,0.9000053680916247,0.9939719457537006,0.7875363855519678,0.39104858552548083,0.9100000262260437,3.5775938034057617,3.9019768238067627,-5.453399658203125
0.8124578605581181,0.9200000166893005,0.7100615684888841,0.9900000095367432,0.49000000953674316,0.09156796872484435,0.7139567136764526,0.44950784252921216,0.8715729713439941,-1.7833082675933838,2.2203245162963867,1.6550273895263672
0.7900000214576721,0.9399584359240694,0.5299999713897705,0.25150698185712506,0.9702380942745251,0.9599999785423279,0.17000000178813934,0.3199999928474426,0.9300000071525574,1.586806297302246,1.110144019126892,0.25876525044441223
0.8112227112739164,0.9854898251100248,0.5687876421988406,0.4482779352804593,0.9181210018971048,0.9946876647593211,0.7301128896852098,0.3900272452189382,0.8399997628697093,,3.9236679077148438,
0.5886673071790463,0.9185189008712769,0.46200643599430913,0.3465750949932749,0.958112078987264,0.9753644060601279,0.018271317669821374,0.2903103722108978,0.9318663925764461,2.9048056602478027,0.9939191937446594,-0.33270949125289917
0.9687459091578869,0.9921631320021164,0.009999999776482582,0.9420228368366663,0.7864390959925067,0.9914256063130822,0.7276432439603442,0.3847975754137483,0.9154187112847477,2.997838020324707,4.817930698394775,-6.335091590881348
0.8069180694776622,0.9844181461093144,0.5345557799424933,0.4482779352804593,0.8833154089480263,0.9946876647593211,0.7209364415591663,0.38999998569488525,0.9217513176830888,,4.504090309143066,
0.8800367539451583,0.9729999899864197,0.5251209051764802,0.5262407281547976,0.9614999506980474,0.9136721770314129,0.3015900225139365,0.991138263596626,0.9164711223294277,,0.1889158934354782,-3.499321937561035
0.7787831851214992,0.9200000166893005,0.569450320102677,0.2464917242904288,0.9000509099449923,0.9758799425765718,0.13864214477002293,0.2871080408869127,0.9661077755409736,1.512208342552185,0.9261458516120911,0.3062813878059387
0.8614978187363826,0.9787141512453749,0.009999999776482582,0.9873958184083644,0.9152923248061284,0.9900411145204265,0.650558457131658,0.38999998569488525,0.9100000262260437,2.357013463973999,,-11.554004669189453
0.8584413820108762,0.9440459327212845,0.5300561261925795,0.6000000238418579,0.8936061472637916,0.9900000095367432,0.3954445449349917,0.3449445579964049,0.9173363006617025,,0.107279933989048,
0.40869732017738075,0.9865603435444402,0.5286873249541664,0.6052450279025416,0.9018741379046284,0.9981592310991686,0.5766243483696498,0.3531277345873956,0.972019104007536,1.2905397415161133,2.5305280685424805,-2.5691781044006348
0.9816338458638656,0.994761700348615,0.5299999713897705,0.42462993916385106,0.8624987619465894,0.9619068588793377,0.718699867629693,0.4332011999680529,0.8399999737739563,5.043758392333984,4.209878921508789,-5.66188907623291
0.94669652327117,0.9258036328804252,0.0,0.9900000095367432,0.8146194987902842,0.9736064615260763,0.7637272131920012,0.3808659509455178,0.910458494128494,,6.363424301147461,
0.9670357551375864,0.4443271737328876,0.0021433240753514233,0.935489193893671,0.8418381041004233,0.35410190715657264,0.7007609144883723,0.4036780313221125,0.9099584252228671,-0.6494472622871399,1.409083366394043,1.668097734451294
0.8921568080959184,0.9200000166893005,0.009999999776482582,0.9900000095367432,0.8999999761581421,0.9900000095367432,0.7000505620505235,0.37995093272581015,0.8999999761581421,2.431304931640625,,
0.8854230642318726,0.9852491617202759,0.5900282644058518,0.4299891663101882,0.9758877574478677,0.9948444609881412,0.7668546176136638,0.7717342331716605,0.9114632532533802,5.423203468322754,2.594855308532715,-4.055026054382324
0.9096497133109366,0.21899999678134918,0.3183559494728966,0.9805293817916144,0.9905237525396149,0.042864862996852784,0.8373120372942465,0.44554931086340527,0.7191847614538848,-0.5029550194740295,-0.0003502368927001953,5.083859443664551
0.9589045195578875,0.9200000166893005,0.0094668857394456,0.9651765625353632,0.9019682790664505,0.9900000095367432,0.719171420737435,0.37897490486119634,0.915261662015766,2.9396891593933105,12.103710174560547,-7.184602737426758
0.989690925977943,0.9314112641214928,0.008557955289278135,0.921970793841212,0.8664851800544391,0.998474889132141,0.7747593708724263,0.4485717003725542,0.8056618287654999,2.2227039337158203,6.393245697021484,-5.9257683753967285
0.8419001845520035,0.9200000166893005,0.4558775611827601,0.25747074703476847,0.8994853242890594,0.8612296779131322,0.08192070882778299,0.6309034022965938,0.6944041883455121,1.6032967567443848,0.5191230773925781,0.3497898280620575
0.776056519806016,0.9180382193977006,0.000435389875268255,0.9858311381596285,0.42226874909516876,0.3014526119869044,0.7714587003248534,0.3810363096098349,0.9129793514248534,-0.14991292357444763,0.3807182013988495,1.5631027221679688
0.7900000214576721,0.9561391388144852,0.5299999713897705,0.25150698185712506,0.9702380942745251,0.9599999785423279,0.1985256600498947,0.3199999928474426,0.9300000071525574,1.5871951580047607,1.3505676984786987,0.2367268055677414
0.9491679472834927,0.9173180056799399,0.009999999776482582,0.9707591144921459,0.9001746077468422,0.9796601701550551,0.699999988079071,0.3094520098224593,0.9151842163036015,2.321561098098755,,-7.36513614654541
0.8854230642318726,0.9852491617202759,0.5900282644058518,0.4299891663101882,0.9758877574478677,0.9948444609881412,0.7668546176136638,0.7717342331716605,0.924681959128236,5.312131881713867,2.595491409301758,-4.0075154304504395
0.5779160947551912,0.9988677929567586,0.5952658460229499,0.305930723083461,0.9569784854613815,0.9907083931215134,0.31919336467426773,0.7185833252837046,0.8513456137147649,2.4604299068450928,1.060929775238037,-0.12676136195659637
0.9136171715802602,0.9973424994044559,0.5000011746143105,0.4052810616137418,0.8969842296133204,0.9918124973366022,0.66202822414213,0.3891625149382213,0.9004658004486255,4.323136806488037,4.488536834716797,-5.579459190368652
0.9823496494852774,0.16927302044698003,0.009999999776482582,0.8757817669936591,0.8187685733267406,0.5436005872081404,0.9198295467922986,0.8707116550867509,0.8851661781782524,-0.3186987340450287,0.8561204671859741,0.9052736163139343
0.5886673071790463,0.9185189008712769,0.4352710466431172,0.3465750949932749,0.958112078987264,0.9753644060601279,0.018271317669821374,0.28823364970853055,0.9318663925764461,2.945371627807617,1.096217155456543,-0.3436196744441986
0.7900000214576721,0.9850285253835187,0.5343469350111236,0.28735857279963517,0.918932185455735,0.9926087411714802,0.17571925134036206,0.6295555758165126,0.9005896956192855,2.0276553630828857,0.6838425993919373,0.13527697324752808
0.8599966206823099,0.959851768549939,0.44281577405478845,0.22778369060087178,0.8996199463337132,0.970850042225765,0.19233672326893336,0.3187985789127953,0.9461053222808848,1.2754913568496704,1.8234882354736328,0.004196288995444775
0.8599968831128983,0.9198904518436336,0.009335325727582111,0.9982688596684112,0.8999999761581421,0.9899994146337912,0.701147751810251,0.3797490220954628,0.8999999761581421,2.6845474243164062,,
0.8854230642318726,0.9859191456767182,0.5900282644058518,0.42989997620746606,0.897044160309216,0.9948444609881412,0.7866796803097217,0.7717342331716605,0.924681959128236,5.063741683959961,2.803471088409424,-4.175003528594971
0.7787831851214992,0.9106913329796639,0.569450320102677,0.2464917242904288,0.9002172508808292,0.9758799425765718,0.13864214477002293,0.2490315591344366,0.9114011022503217,1.5489397048950195,0.9681732058525085,0.29190292954444885
0.8139230963616197,0.9200000166893005,0.7100615684888841,0.9900000095367432,0.4694041380550505,0.09156796872484435,0.7139567136764526,0.42754354339019907,0.8372157224131128,-1.738915205001831,2.1831743717193604,1.9111679792404175
0.7141671482765183,0.9795351106620284,0.5726135132860557,0.5267508345883815,0.8713117999754562,0.9962347101712191,0.7065788128527128,0.4296953277698543,0.9550345108150482,,0.6992979049682617,
0.8807635180748984,0.9360557391630513,0.7130908473086557,0.6072320835592568,0.9633524415221388,0.9980985976409803,0.4154432472582711,0.9797991999367638,0.9435193680676702,,0.19789284467697144,-3.978372097015381
0.7141149935083269,0.9161662948494028,0.5298470301803906,0.2105949400971635,0.8935699609252185,0.8540187186102519,0.43272113046008265,0.3621270975005712,0.969418212442382,0.9663524627685547,0.9577748775482178,0.32426270842552185
0.9491408817945441,0.9221336081906262,0.009926575776654827,0.965826927265478,0.7727347629886473,0.985286081332825,0.7381365862493386,0.3791542268538373,0.9153569138637346,,4.738550662994385,-7.533791542053223
0.9764091737655883,0.9200000166893005,0.5299999713897705,0.3855827741063568,0.9000053680916247,0.9941751674337624,0.7844400861841966,0.39104858552548083,0.915103692888096,3.5669779777526855,3.7696666717529297,-5.400348663330078
0.8157431888750277,0.9862395492341802,0.559784367540969,0.6029488594520543,0.9006186483304833,0.917278029986187,0.7193692121309758,0.6100520383204084,0.9776493790335343,,0.9086469411849976,
0.4407541192943956,0.5286748793064328,0.33970284211965485,0.3303318048768481,0.7540288009097885,0.6584386580031856,0.17158071521672444,0.8556756642406239,0.9532248590824155,0.7435592412948608,0.7910043597221375,0.551912248134613
0.8783446049853993,0.9729999899864197,0.5268048964530941,0.5262407281547976,0.9812572047795982,0.9144015394212246,0.3015900225139365,0.9975997994584394,0.9164711223294277,,0.18748119473457336,-3.461343288421631
0.7904290042336992,0.9199545170621737,0.541138735596274,0.2925850677694334,0.8759774679029865,0.9919116689844821,0.18692609101530833,0.7813189430617258,0.9197658648660901,2.0158815383911133,0.8124294877052307,0.19034147262573242
0.8584413820108762,0.9440459327212845,0.5300561261925795,0.6000000238418579,0.8695882189805793,0.9900000095367432,0.37473648415028793,0.3905954049326145,0.9173363006617025,,0.10236825048923492,
0.8472740779823545,0.8828546939132823,0.06503828759072988,0.9937400149253439,0.8729628122309879,0.9998842518437906,0.7968924184751986,0.3866416299084176,0.841437937661921,3.079542636871338,,-9.484257698059082
0.8818942131677627,0.9865603435444402,0.5286131298786446,0.6052450279025416,0.9024119574538385,0.9132106621400026,0.5706875888671321,0.39023243384092204,0.9086990216140405,,-0.028649963438510895,
0.9491408817945441,0.9221336081906262,0.009999999776482582,0.9651765625353632,0.8999999761581421,0.9900043529881505,0.699999988079071,0.367316987948367,0.9153569138637346,2.7559635639190674,,-7.231975078582764
0.40869732017738075,0.9873445943483109,0.5299299176097869,0.6052450279025416,0.899074545846839,0.9991871478827193,0.569705144698393,0.369574567333954,0.9728608684106803,1.3230602741241455,2.485403537750244,-2.5459065437316895
0.9858355016915507,0.9266443218420791,0.7212743356925688,0.6069120490505024,0.9607339954321922,0.9884998957826813,0.5820047551653109,0.9836692781910242,0.9688896165139225,,0.22623243927955627,-5.1818976402282715
0.4955078563114618,0.8444730971233392,0.5022720873584281,0.9759006295577535,0.9892508686361806,0.06731682953258034,0.9047140250720871,0.44003096890361887,0.5378451891002838,-0.5634921789169312,0.5006467700004578,
0.7904290042336992,0.9201056270024807,0.541138735596274,0.2869846104864241,0.8759774679029865,0.9946604032104122,0.1521066088412678,0.8017189980893733,0.9197844277775217,1.948319673538208,0.6823022365570068,0.24654056131839752
0.8157431888750277,0.9548582907829641,0.559784367540969,0.6029488594520543,0.8800065149573221,0.9081405425497556,0.7193692121309758,0.6091319405846394,0.9810217631258148,,2.3820457458496094,
0.8813747995442001,0.9875937548437033,0.5901451158209583,0.4299891663101882,0.9758877574478677,0.9945275529753912,0.7668546176136638,0.7768988202713981,0.9328811903383407,5.253490447998047,2.558488368988037,-3.958211898803711
0.9823496494852774,0.16927302044698003,0.009999999776482582,0.8757817669936591,0.8430121452102831,0.5436005872081404,0.9198295467922986,0.8707116550867509,0.8851661781782524,-0.3377467095851898,0.8564234972000122,0.9279401302337646
0.9491679472834927,0.9330302317268364,0.009999999776482582,0.9651765625353632,0.8603961914077641,0.9900000095367432,0.6999323066155777,0.37897490486119634,0.9153569138637346,3.8104798793792725,,-7.293841361999512
0.8614978187363826,0.9791643326012304,0.009999999776482582,0.9873958184083644,0.8660668172498991,0.9916352298494674,0.650558457131658,0.38999998569488525,0.9100000262260437,3.387998580932617,,
0.7823276647499511,0.4550015332529131,0.03403118093921764,0.8806526550400475,0.89230481292907,0.4276688262120877,0.7200000286102295,0.44712140845893616,0.9098798865368134,-0.6411877870559692,1.9809563159942627,0.5131797790527344
0.7588788674849561,0.9638221561586082,0.5371663671715772,0.281723439523401,0.837603456103166,0.9954685042497291,0.091140191975592,0.3872714081682219,0.9190744098451844,1.954982042312622,0.6671581268310547,0.2167307585477829
0.8854230642318726,0.9896295536494119,0.631922013263408,0.4259041557070243,0.9770545326610335,0.9965042259663582,0.7831067426533389,0.7628305907082633,0.9590186229654832,5.0316057205200195,2.1468896865844727,-3.661644458770752
0.8592014881326138,0.12053667373112215,0.7651813322863418,0.33623428686295076,0.9678963550246402,0.9442499002386695,0.06327553553878157,0.925297419883566,0.9241241496358613,0.7925332188606262,2.4158763885498047,-0.5795443058013916
0.8806156879633523,0.9875937548437033,0.5901451158209583,0.4332264695180392,0.975879228782229,0.9945275529753912,0.7668546176136638,0.7560014613236318,0.9328811903383407,5.595214366912842,2.645547389984131,-4.080862998962402
0.40869732017738075,0.9865603435444402,0.5286873249541664,0.5866291018978648,0.9018741379046284,0.9981592310991686,0.5766243483696498,0.3531277345873956,0.972019104007536,2.5721850395202637,1.7652086019515991,-2.8934104442596436
