,h0,theta0,fx,fy,fz,mx,my,mz,f_thrust,f_lift,mz,vy,wz,Cd,Cpout,Eta
0,-5.0457748783436786e-05,-0.5719038511954554,-2.305529101077471,-6.023430559715802,9.528905645227086,0.3348092939720226,0.09388711737135304,-0.05910504821990775,-1.3214299278473864,-3.8171039662861865,0.05910504821990775,0.0,0.0,-17.090602028709384,3.969543766529414,-4.305432320161003
1,-4.9149331061038026e-05,-0.5583170220675452,-2.3102033674331586,-6.043426586909028,9.44344473305139,0.3352856245457523,0.09433901748418441,-0.058422241971880215,-1.242168755668323,-3.9018672190431856,0.058422241971880215,0.0006683797294781957,6.718664507222749,-17.08116942319046,3.9715416254589866,-4.300891450738958
2,-4.7784229865524003e-05,-0.5450291931665644,-2.3149676509576818,-6.063670770060936,9.356674830411219,0.33577012317745525,0.0947978959532202,-0.05776619502235576,-1.1641110140041184,-3.9849396871362006,0.05776619502235576,0.0006946260535256598,6.54051568712749,-17.072076074888326,3.990396705124389,-4.278290439886516
3,-4.637082684693539e-05,-0.5321549593190352,-2.319844831847036,-6.084106496564937,9.268738421481578,0.33626198664091056,0.09526362422419879,-0.05714919222482924,-1.0879771702173127,-4.065700367939188,0.05714919222482924,0.0007093963465099058,6.325739484724646,-17.063318233950433,4.00863535565248,-4.256640158075206
4,-4.494664447948438e-05,-0.5197262352276658,-2.3248331912955593,-6.104696444475067,9.179770569032767,0.3367609739716286,0.09573492286298456,-0.05658102351475178,-1.0140009532435483,-4.143991810123278,0.05658102351475178,0.0007102728157892805,6.099939343069516,-17.054889238930993,4.026191151394694,-4.235985972256456
5,-4.3529735583778265e-05,-0.5077552019467572,-2.329922599820641,-6.125416945225378,9.08987128923431,0.33726702665587815,0.09621052615644406,-0.05606719694001819,-0.942305842244255,-4.219775411344736,0.05606719694001819,0.000712661376733869,5.872647947743892,-17.046781728094658,4.043058396857714,-4.216308560208654
6,-4.2095998972548904e-05,-0.49623564343669024,-2.3350912802732835,-6.146261627113294,8.99912856237695,0.3377798766995072,0.0966893972439338,-0.05560790121939076,-0.8729145139177295,-4.293125688347705,0.05560790121939076,0.0007206183482644237,5.650148878957123,-17.03898790006553,4.059250662172577,-4.197569777803765
7,-4.064726219072057e-05,-0.48515460643092867,-2.3402771975830574,-6.167227261287016,8.907651639679097,0.3382992001835016,0.09716986716748131,-0.055196511020651234,-0.8058404993011612,-4.364169997234163,0.055196511020651234,0.0007219897052657128,5.434438479861983,-17.031499867021,4.074800291838765,-4.179714009820954
8,-3.920804015148605e-05,-0.4744978895172423,-2.3454053662501586,-6.188294360722253,8.815518248714138,0.3388247281246028,0.09765064739040098,-0.054821936686724096,-0.7410911156517113,-4.4330288507800315,0.054821936686724096,0.0007029933359525833,5.226844798513625,-17.024309705754,4.089742549226495,-4.162684936970876
9,-3.7835288846910237e-05,-0.46424722723687417,-2.350430237234453,-6.209450657637355,8.722772425554945,0.33935584747008296,0.09813168108006766,-0.05447397467111936,-0.6786224243804551,-4.499830661743839,0.05447397467111936,0.0006538809786516004,5.029162386397487,-17.01740946488295,4.104111715643118,-4.146429396651135
10,-3.659251623687965e-05,-0.45438123997165236,-2.355346103342879,-6.230710473094269,8.629476205790155,0.3398916936698033,0.09861308627467402,-0.054145676705953716,-0.6183431611653285,-4.564721059727544,0.054145676705953716,0.0005932523599305746,4.839973420535132,-17.01079146697359,4.1179463555211875,-4.130891953987249
11,-3.546227940718794e-05,-0.44488733355473364,-2.360181433823076,-6.252102855305948,8.53575540229779,0.3404315770406949,0.09909372082942301,-0.053832588783252644,-0.560191739123844,-4.627799223471307,0.053832588783252644,0.0005429390040090369,4.656365638293941,-17.004448351256023,4.131280423509983,-4.116023752463855
12,-3.4420760220843503e-05,-0.4357557774184766,-2.3649960823972394,-6.273661232161101,8.441769862989982,0.3409750240374494,0.0995716421836087,-0.053531588115340756,-0.5040950076158337,-4.689141075771955,0.053531588115340756,0.0004980264805087844,4.478272373864181,-16.998372923074395,4.144139695837061,-4.101785695146782
13,-3.34701734851528e-05,-0.4269742440592769,-2.36985785569568,-6.295417427992918,8.347642093826602,0.3415216938307096,0.10004535217563836,-0.05323978205911287,-0.4499504120128801,-4.748831142453134,0.05323978205911287,0.00044793014690735973,4.305072030494516,-16.992558242329387,4.156543581578346,-4.08814629483011
14,-3.2629039633214064e-05,-0.41853548929649853,-2.3748064074031556,-6.317411074869705,8.25343512909076,0.3420712373899862,0.10051416793105443,-0.05295397887802085,-0.39771451813779635,-4.806949121657812,0.05295397887802085,0.00039503291606290996,4.1359950127979745,-16.986997622814727,4.16850654196018,-4.075079996114589
15,-3.189004182090116e-05,-0.410430264008085,-2.3798405247434657,-6.3396791749158705,8.159151748622152,0.3426234333872493,0.10097802108174722,-0.05267026085800476,-0.3473637465237771,-4.863598302990612,0.05267026085800476,0.0003611739458841964,3.972249847543657,-16.981684750218704,4.180042717927586,-4.06256248946614
16,-3.118434384967728e-05,-0.4026464899063239,-2.384942571310302,-6.36223132587732,8.064743530944005,0.34317824397108454,0.10143750681136932,-0.05238404436951956,-0.29885733742104614,-4.918875123954234,0.05238404436951956,0.00035199534993868206,3.812261183065699,-16.976613613574326,4.191162057290736,-4.050574370905715
17,-3.0482060421146433e-05,-0.3951812192758222,-2.3901004914985577,-6.385055082654576,7.970142417826343,0.3437355760794467,0.10189384437686072,-0.05209115480774032,-0.2522016031453207,-4.9728085424321895,0.05209115480774032,0.00034965063926861744,3.6525342690781755,-16.971778146404226,4.201868520015325,-4.039102619598941
18,-2.978574129260281e-05,-0.3880363528300112,-2.3953082345927954,-6.408130509902628,7.8753224376080615,0.3442951580366356,0.10234797122250967,-0.05178849218569537,-0.20742763149720256,-5.02539422155881,0.05178849218569537,0.0003444079935066571,3.493038754718097,-16.96717189082428,4.212160703182153,-4.028139733131768
19,-2.9104428447119804e-05,-0.38120906425694984,-2.4005707539733927,-6.431435998909324,7.780338362469054,0.3448565311409844,0.10279990971345464,-0.051474675570223505,-0.164523869301207,-5.076642941771445,0.051474675570223505,0.0003378838204293186,3.3367501692973116,-16.962788057142138,4.222037339414186,-4.017678360820881
20,-2.8434206010885535e-05,-0.37468935215282195,-2.4059106198264524,-6.454954178808698,7.68532493495963,0.3454187043167816,0.10324938388919355,-0.05115135597048326,-0.12341459774133767,-5.126594756788408,0.05115135597048326,0.00035034148086587896,3.186328813205283,-16.95861997164779,4.23150901451264,-4.007700305844907
21,-2.770306252365629e-05,-0.3684637490041287,-2.411356191132091,-6.478675375527072,7.59047959057826,0.34597998728707213,0.10369630052816607,-0.050822721683758856,-0.08399665006558088,-5.1753093741573855,0.050822721683758856,0.00038665802772008763,3.041664372861283,-16.954661515557927,4.2405907053642595,-3.998183907282217
22,-2.6887573900005184e-05,-0.3625226946613768,-2.4169037772486988,-6.502584302232009,7.496015596374282,0.3465388785168191,0.10413989515327007,-0.050492945931426,-0.04622055997923713,-5.222833440823575,0.050492945931426,0.0004103836740920744,2.901034770735153,-16.950907369147377,4.249291898321335,-3.989113427543954
23,-2.606152782728799e-05,-0.3568596099211881,-2.4225248213340165,-6.526649803042565,7.402063147962325,0.3470948410056411,0.10457916278417412,-0.0501662490486645,-0.010074807881007786,-5.2691920997353,0.0501662490486645,0.00040046125120873937,2.76287474289634,-16.94735262021783,4.257629587408765,-3.980466659273701
24,-2.5285728895170227e-05,-0.35147119568979146,-2.428193298262132,-6.550828229036844,7.3086643882021125,0.3476479739972188,0.10501362031249814,-0.049848215139412705,0.024435653433867,-5.314380910149803,0.049848215139412705,0.00037309680405162043,2.628117683047271,-16.94399282594505,4.265638247098904,-3.9722057625183758
25,-2.456914061108151e-05,-0.346347139188999,-2.433867290748974,-6.575064745193577,7.215865410750759,0.3481985512264553,0.10544241819699753,-0.049543471429863276,0.05734318830626339,-5.358420189528902,0.049543471429863276,0.00034934390858776357,2.5010371277740804,-16.940824617651256,4.273351934506956,-3.9642942770183582
26,-2.3888353260819172e-05,-0.34146704717869514,-2.439495415439811,-6.599299488628358,7.123699322714572,0.34874702134766383,0.10586456787310031,-0.04925454705287462,0.08874361908286454,-5.401371700536952,0.04925454705287462,0.0003380978251721343,2.381074584345111,-16.937844975679415,4.280781301493091,-3.956718127546407
27,-2.3216749310392972e-05,-0.33682284085161857,-2.4450417716380084,-6.623475629351503,7.0321996121173145,0.34929367806201406,0.1062793590098256,-0.04898328350629356,0.11866018483187668,-5.443236692590199,0.04898328350629356,0.000336104281366544,2.2633993550588287,-16.935050044897324,4.287918577645693,-3.949480322034382
28,-2.2543936135352996e-05,-0.3324134497584598,-2.4504835947215606,-6.647542245934697,6.941467154253035,0.34983821322446845,0.10668594127155057,-0.04872952336511009,0.1470767923274936,-5.483984533242795,0.04872952336511009,0.0003263346745985278,2.149041474538274,-16.932434970588485,4.2947554169202435,-3.9425842281679184
29,-2.191141061199886e-05,-0.32822667495346547,-2.455813420300754,-6.671452217013576,6.851630551255559,0.35037989444705225,0.10708370037562187,-0.04849094845491836,0.1740691346697414,-5.523632008513008,0.04849094845491836,0.0002998606455228986,2.042460186606837,-16.929994450120038,4.301300578497298,-3.9360175233405097
30,-2.1344493553261402e-05,-0.3242436090120325,-2.4610299744666104,-6.695156885953038,6.762812724800804,0.35091796355009486,0.10747221073546732,-0.048265736099235554,0.19976781555492407,-5.562221285108817,0.048265736099235554,0.000283412194042043,1.9464030789126119,-16.92772353950355,4.307591410626256,-3.929742151900736
