0.577000011,53.84999874,0.535500011,-3.526779654,2.703050802,14.29449152,0.381,3.4733
0.531000003,34.64999916,-0.715499995,-3.526779654,2.703050802,14.29449152,1.0052,-1.9466
0.480999999,74.25000072,0.733500033,-3.526779654,2.703050802,14.29449152,2.2635,7.5287
0.222999999,66.45000102,-0.6975,5.751,6.582214278,27.69285695,1.2131,-0.298
0.580000032,64.79999898,0.881999995,5.907514968,1.85565087,30.01997032,4.8822,13.2302
0.308000017,32.39999952,0.82799994,6.998592294,7.711820433,13.94599515,1.6147,-0.5454
0.552000032,72.59999874,0.881999995,-3.934180332,6.489221319,28.27356557,1.0956,-13.4107
0.596000042,53.39999916,-0.521999999,-4.939925382,1.575335808,27.97854488,1.096,1.796
0.596000042,45.5999994,0.648000008,5.751,6.582214278,27.69285695,11.3843,-3.5763
0.552000032,26.39999988,-0.863999977,-3.934180332,6.489221319,28.27356557,9.7417,12.7031
