-1.975300000000000056e+00,-5.278000000000000469e-01
3.450000000000000289e-02,6.076000000000000290e-01
-4.289399999999999658e+00,-3.427500000000000213e+00
-9.993000000000000327e+00,-4.764300000000000423e+00
-3.023099999999999898e+00,-1.522599999999999953e+00
-6.943100000000000271e+00,-4.022100000000000009e+00
-3.144600000000000062e+00,-3.756400000000000183e+00
4.743999999999999884e-01,-1.100000000000000066e-03
8.942999999999999838e-01,2.518000000000000238e-01
-2.384000000000000008e-01,-2.491299999999999848e+00
-3.647299999999999986e+00,-2.292800000000000171e+00
-3.733000000000000207e-01,-6.348000000000000309e-01
-1.053940000000000055e+01,-4.867399999999999949e+00
2.503200000000000092e+00,-2.758199999999999985e+00
4.474000000000000199e-01,-2.824500000000000011e+00
1.916299999999999892e+00,-2.606500000000000039e+00
3.046800000000000175e+00,-1.137999999999999901e+00
-1.161899999999999933e+00,-3.669200000000000017e+00
2.429000000000000048e-01,-2.525700000000000056e+00
-5.857199999999999740e+00,-9.151199999999999335e+00
-6.762500000000000178e+00,-1.058479999999999954e+01
-2.130100000000000104e+00,-5.141200000000000436e+00
2.914400000000000102e+00,-2.131699999999999928e+00
1.646500000000000075e+00,-1.201600000000000001e+00
2.004399999999999959e+00,-1.021600000000000064e+00
1.708299999999999930e+00,-1.437400000000000011e+00
2.300600000000000200e+00,-1.643599999999999950e+00
1.873799999999999910e+00,-1.773300000000000098e+00
1.935200000000000031e+00,-1.837900000000000089e+00
1.559800000000000075e+00,-1.224499999999999922e+00
1.176399999999999890e+00,-1.170400000000000107e+00
1.750299999999999967e+00,-1.724800000000000111e+00
1.616900000000000004e+00,-1.360700000000000021e+00
1.266000000000000014e+00,-1.367499999999999938e+00
2.090899999999999981e+00,-2.097599999999999909e+00
5.584999999999999964e-01,-3.688800000000000079e+00
1.708700000000000108e+00,-1.399599999999999955e+00
1.527800000000000047e+00,-1.153699999999999948e+00
2.139800000000000146e+00,-1.083599999999999897e+00
1.237400000000000055e+00,-1.379899999999999904e+00
2.050699999999999967e+00,-1.310200000000000031e+00
2.263599999999999834e+00,-1.369699999999999918e+00
1.605799999999999894e+00,-1.402700000000000058e+00
1.890099999999999891e+00,-1.131699999999999928e+00
1.526100000000000012e+00,-1.275900000000000034e+00
2.512300000000000200e+00,-1.608899999999999997e+00
2.702599999999999891e+00,-1.441599999999999993e+00
2.050100000000000033e+00,-7.747000000000000552e-01
2.343799999999999883e+00,-1.544300000000000006e+00
2.583200000000000163e+00,-1.659699999999999953e+00
2.196299999999999919e+00,-9.404000000000000137e-01
2.302900000000000169e+00,-1.041600000000000081e+00
2.404500000000000082e+00,-1.271400000000000086e+00
2.732099999999999973e+00,-1.345800000000000107e+00
2.704800000000000093e+00,-1.728399999999999936e+00
2.581199999999999939e+00,-1.498899999999999899e+00
5.874000000000000332e-01,1.672099999999999920e+00
3.708000000000000185e-01,1.846899999999999986e+00
1.077599999999999891e+00,1.856000000000000094e+00
5.635999999999999899e-01,1.971000000000000085e+00
8.027999999999999581e-01,1.899899999999999922e+00
6.775999999999999801e-01,1.843699999999999894e+00
2.795000000000000262e-01,2.208699999999999886e+00
8.991000000000000103e-01,1.709999999999999964e+00
5.499000000000000554e-01,1.951699999999999990e+00
8.752999999999999670e-01,1.734199999999999964e+00
9.149000000000000465e-01,1.716199999999999948e+00
7.281999999999999584e-01,1.814400000000000013e+00
7.768000000000000460e-01,1.799900000000000055e+00
4.819999999999999840e-01,1.909999999999999920e+00
1.777700000000000058e+00,6.941000000000000503e-01
1.094999999999999973e+00,1.197400000000000020e+00
8.131000000000000449e-01,1.701699999999999990e+00
7.205000000000000293e-01,1.743300000000000072e+00
8.971000000000000085e-01,1.649299999999999988e+00
9.129000000000000448e-01,1.654099999999999904e+00
6.621000000000000218e-01,1.907499999999999973e+00
7.781000000000000139e-01,1.765800000000000036e+00
6.491999999999999993e-01,1.723000000000000087e+00
7.383999999999999453e-01,1.792000000000000037e+00
