3.56,-6.2336
1.7686,-4.4625
2.6179,-4.0587
1.2334,-4.4489
-0.1509,-6.619
-0.0428,-4.4571
-5.1731,-8.1048
1.3568,-4.4615
-8.9279,-10.2387
-8.5111,-9.8809
-9.1472,-12.0319
-6.458,-8.3788
-7.3376,-8.8477
-6.192,-9.4531
-5.96,-9.074
-0.4753,-5.7994
1.2177,-4.8669
0.3951,-4.9521
0.4334,-4.8623
2.1962,-5.0186
1.5854,-5.1705
1.9582,-5.4278
0.2241,-5.8089
-4.1489,-7.9942
-2.5248,-8.1382
-3.2323,-9.1179
-0.6068,-6.5288
-0.8102,-7.0087
1.1979,-6.0004
-1.3795,-4.6712
0.3285,-6.3802
0.9931,-4.4738
-1.3514,-3.2018
0.5682,-3.7185
0.8236,-3.5192
0.2437,-4.3702
1.5383,-5.8419
0.1588,-4.2122
-0.2597,-4.4347
0.8826,-4.1225
0.7143,-4.3491
